description,predicted_category,industry,country,expected_pricing,marketing_budget,team_size,founder_experience,competition_level,expected_investment,success_score,success_label,revenue_y1,revenue_y2,revenue_y3,funding_readiness
A innovative luggage shipping and storage network for frequent business travelers. utilizing modern tech.,Travel,6,0,215.0,107543.0,19,12,0,117366.0,92.87451212754728,1,414845.30675791966,620931.6464297124,1017898.997804722,High
A cloud-based digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,1,76.0,125043.0,10,1,0,360926.0,66.26323783252849,1,542543.8091865696,632370.5844603695,820273.5114835788,Medium
A cloud-based marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,1,442.0,132831.0,13,1,2,373364.0,53.21431624022435,1,335809.7585015649,352600.24642664316,422032.1559281714,Medium
A scalable saas booking management platform for local boutique hotels and tour guides. utilizing modern tech.,Travel,6,3,475.0,147028.0,8,1,1,7867.0,65.5768948839539,1,341061.3763292147,397884.11797749164,462878.3289622563,Low
A user-friendly clean energy home battery systems storing excess solar power grid energy. utilizing modern tech.,Other,8,2,215.0,22469.0,11,0,2,145471.0,41.025312374154076,0,152751.86934865857,166425.55864616923,183068.11451078617,Low
A user-friendly luggage shipping and storage network for frequent business travelers. utilizing modern tech.,Travel,6,4,314.0,5260.0,2,2,2,498774.0,18.27783908974242,0,224978.20293255625,270673.4498962657,318841.6475471706,Medium
A next-generation online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,5,71.0,6119.0,5,12,1,217705.0,57.62790678804435,1,185201.72022721864,267041.6878123952,443453.98392497795,High
A innovative marketplace connecting smallholder farmers directly to wholesale crop buyers. utilizing modern tech.,Agriculture,5,4,372.0,147130.0,13,6,2,345743.0,56.47555063213333,1,409461.5571566533,482678.3486587158,656221.8405240625,Medium
A cloud-based online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,2,65.0,87352.0,3,7,1,308015.0,46.56223467103714,0,260235.79855702657,313250.79167196446,444040.5260268793,Medium
A user-friendly peer-to-peer crypto invoice discounting and credit scoring application. utilizing modern tech.,FinTech,2,0,248.0,35082.0,5,11,1,190610.0,66.36883541243719,1,173953.97403477173,246317.02813699775,405711.102098267,High
A next-generation ai itinerary planner generating custom travel guides based on user interests. utilizing modern tech.,Travel,6,2,26.0,15581.0,2,4,1,468671.0,38.48916810539878,0,197107.59980305593,243513.95049449572,325162.29048281023,High
A cloud-based vertical farming startup growing pesticide-free leafy greens in urban centers. utilizing modern tech.,Agriculture,5,3,172.0,106832.0,10,10,2,37737.0,77.83988307042574,1,241470.3741116404,309404.93489670014,477967.1320824837,Medium
A next-generation telemedicine app connecting remote patients with general physicians and specialists. utilizing modern tech.,HealthTech,1,2,13.0,55595.0,8,1,2,418732.0,46.41317617112908,0,433291.51901442034,482613.9684202938,591533.4456831036,Medium
A scalable vr multiplayer physics sandbox game set in outer space. utilizing modern tech.,Gaming,7,0,9.0,72171.0,10,1,1,154688.0,68.80887855523407,1,266996.4354645672,300951.6256957525,352877.21441691637,Low
A next-generation decentralized micro-lending platform for small business owners in developing nations. utilizing modern tech.,FinTech,2,5,301.0,55645.0,1,3,1,38261.0,47.9511845129594,0,124420.02542641961,139356.4238113973,192414.01107926178,Low
A scalable drone spectral analysis for early crop disease and weed identification. utilizing modern tech.,Agriculture,5,3,98.0,121888.0,8,14,1,324646.0,78.69509411100236,1,307631.84338446136,484481.54695869604,869160.7109940058,High
A fully-automated saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,2,52.0,140694.0,6,6,1,96719.0,78.65744876213768,1,264235.8667311449,334798.2917698816,486230.8772056431,Medium
A next-generation digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,1,202.0,131962.0,5,6,2,231524.0,54.274698193229526,1,386303.2754539488,463235.6233495181,620852.7575415733,Medium
A innovative fitness tracker and personalized nutrition planner using biological metrics. utilizing modern tech.,HealthTech,1,5,338.0,105009.0,5,6,1,292120.0,53.52015352735617,1,395890.85704988457,527379.956932739,735839.2174676377,Medium
A user-friendly luggage shipping and storage network for frequent business travelers. utilizing modern tech.,Travel,6,5,199.0,14509.0,16,4,1,189236.0,50.9698399224409,1,278515.86412597523,344702.0601928942,429655.557683553,Medium
A next-generation mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,4,216.0,138502.0,4,4,1,456341.0,52.35368148568991,1,385215.9670800603,467675.388665478,624736.1198868343,High
A scalable saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,1,487.0,109628.0,10,0,2,201827.0,37.86575120282963,0,378178.00551079167,400632.8583835516,440787.26268064545,Low
A fully-automated computer vision safety monitoring for industrial construction sites. utilizing modern tech.,AI,3,2,6.0,62968.0,10,8,1,55035.0,83.62747954017645,1,424372.14841362624,576695.3635937526,846797.8714007452,Medium
A fully-automated autonomous drone navigation software for warehouse inventory management. utilizing modern tech.,AI,3,3,357.0,16019.0,17,15,2,235206.0,74.42392283618656,1,533395.3066379774,837133.4002149642,1393126.6737768182,High
A scalable mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,0,229.0,8280.0,18,12,0,126755.0,86.70445396737905,1,317496.5175992169,452462.57014811045,716138.8424232439,High
A innovative telemedicine app connecting remote patients with general physicians and specialists. utilizing modern tech.,HealthTech,1,5,86.0,133106.0,8,14,2,478844.0,72.2002643927521,1,506451.65625239466,712411.0022583054,1219942.7929010238,High
A next-generation community coworking space with integrated child daycare and support. utilizing modern tech.,Other,8,4,200.0,91545.0,2,6,2,435150.0,23.953269064461118,0,221354.2105875225,269411.4175357176,380201.5378912463,Medium
A user-friendly ai-driven automated feed system for livestock and poultry farms. utilizing modern tech.,Agriculture,5,0,62.0,33067.0,15,3,1,21111.0,74.97741041800205,1,219341.46015866433,280359.0946212319,397248.6166633491,Low
A user-friendly autonomous drone navigation software for warehouse inventory management. utilizing modern tech.,AI,3,2,394.0,11409.0,11,12,0,271621.0,100.0,1,389751.4258110694,598162.7371566527,1036710.3103268398,High
A innovative saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,0,27.0,29311.0,12,15,1,470741.0,78.21387779008536,1,340152.65322133177,553226.6784073543,953396.7697092509,High
A cloud-based online education platform for children learning to code and build websites. utilizing modern tech.,EdTech,0,0,169.0,51547.0,7,10,0,138300.0,82.56710663533855,1,213036.66691866828,314255.527851883,521431.4192100815,High
A scalable mental health counseling chatbot providing cbt exercises and mood tracking. utilizing modern tech.,HealthTech,1,1,354.0,83935.0,8,6,1,275590.0,50.55761156441144,1,376299.124666034,464197.26389308827,642838.2903692483,Medium
A cloud-based direct-to-consumer sustainable clothing marketplace matching local designers. utilizing modern tech.,E-commerce,4,4,405.0,86027.0,7,7,1,92281.0,66.92735417818369,1,265751.5018859265,332649.5450740267,476025.38434543554,Medium
A user-friendly saas platform for hosting and managing esports tournaments online. utilizing modern tech.,Gaming,7,1,444.0,34866.0,12,1,0,272257.0,54.66273807270619,1,270912.04652079,301297.34911285056,392550.45344633405,Medium
A next-generation peer-to-peer campervan and rv rental marketplace for road trips. utilizing modern tech.,Travel,6,5,319.0,92254.0,19,12,0,341916.0,85.37626279606685,1,474270.02660593373,700630.351594602,1174328.947939742,High
A innovative peer-to-peer campervan and rv rental marketplace for road trips. utilizing modern tech.,Travel,6,0,283.0,95328.0,14,5,0,328041.0,83.87246165071376,1,439933.7679881317,599654.4142867764,843471.2604768506,High
A next-generation mobile marketplace for buying and selling verified pre-owned luxury goods. utilizing modern tech.,E-commerce,4,4,5.0,107134.0,13,7,1,241158.0,70.84729506468324,1,430323.90502508846,553563.2496267034,787740.8252402609,High
A scalable telemedicine app connecting remote patients with general physicians and specialists. utilizing modern tech.,HealthTech,1,2,157.0,30000.0,14,13,1,359914.0,62.94517755614365,1,405763.4887989028,606118.444153982,1045004.863191778,High
A innovative local services app matching certified electricians and handymen. utilizing modern tech.,Other,8,2,430.0,144017.0,3,14,0,310041.0,72.05575012314269,1,246086.3903665554,372355.94457448437,681590.0236542503,High
A user-friendly fractional real estate investing application using smart contracts. utilizing modern tech.,FinTech,2,1,441.0,8679.0,16,10,1,166999.0,72.69475985932036,1,401827.7243561349,566964.7596307378,842669.3650180595,High
A next-generation local services app matching certified electricians and handymen. utilizing modern tech.,Other,8,1,240.0,113695.0,10,5,1,58713.0,85.50958231116672,1,225314.67724989384,275335.86024091387,355328.6947905293,Medium
A scalable digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,1,395.0,121288.0,7,0,2,399999.0,26.658667887746986,0,474341.1927942264,530383.7999019192,584357.0436822854,Low
A cloud-based telemedicine app connecting remote patients with general physicians and specialists. utilizing modern tech.,HealthTech,1,1,47.0,37028.0,20,0,0,157851.0,58.0659519945798,1,433927.3937743455,474115.9628994398,578300.0554094651,Low
A user-friendly deep learning neural network for predicting supply chain disruptions in shipping. utilizing modern tech.,AI,3,0,70.0,111551.0,17,15,1,116365.0,89.57567736544907,1,631909.9079920446,1031259.168480871,1804898.7303629317,High
A cloud-based fractional real estate investing application using smart contracts. utilizing modern tech.,FinTech,2,1,372.0,52924.0,4,15,1,363957.0,59.574207969518525,1,283854.2505143976,429626.76354001695,737728.4305672115,High
A scalable ai-powered medical imaging diagnostics tool for early cancer detection. utilizing modern tech.,HealthTech,1,4,328.0,2951.0,12,2,1,338781.0,49.2642366068338,0,385853.8577480812,442672.2918783397,528141.3083114433,Medium
A fully-automated peer-to-peer campervan and rv rental marketplace for road trips. utilizing modern tech.,Travel,6,5,142.0,97343.0,3,10,1,404114.0,67.33740145473183,1,262388.40224499645,372770.4777792397,614330.2267470846,High
A innovative automated dropshipping software tool for shopify store operators. utilizing modern tech.,E-commerce,4,0,132.0,68184.0,20,13,2,222587.0,82.65821297886066,1,446022.59291074245,605854.9156258482,999655.1970753843,High
A innovative smart iot soil sensors and weather monitoring system for precision irrigation. utilizing modern tech.,Agriculture,5,0,218.0,26464.0,9,14,0,442141.0,82.29400772603933,1,245913.6967386707,390173.9332255554,691891.5566273462,High
A innovative digital health records management system for hospitals and local clinics. utilizing modern tech.,HealthTech,1,1,195.0,19354.0,13,11,1,481282.0,70.15260836990291,1,496669.4213344926,716230.8818490254,1211254.2746327103,High
A cloud-based mobile app containing courses and lectures on language learning with active ai tutoring. utilizing modern tech.,EdTech,0,3,384.0,149769.0,12,10,1,93191.0,93.543226218634,1,405201.3673147794,595911.0588058082,934284.3802886714,High
A fully-automated mobile strategy game combining base building and real-time defense. utilizing modern tech.,Gaming,7,5,95.0,91217.0,10,7,1,419518.0,61.63775612850458,1,417519.73162764707,529216.391041207,758280.0958376058,High
